eval,peak_torque,onset_phase,duration,reward,effort_reduction_pct,solve_time
0,8.993,0.072,0.497,0.0636,18.68,116.9
1,11.046,0.053,0.365,0.0713,20.85,111.7
2,11.158,0.253,0.330,0.0280,8.35,113.3
3,9.085,0.016,0.330,0.0469,13.84,123.7
4,8.484,0.183,0.159,0.0346,10.29,112.2
5,6.875,0.014,0.447,0.0516,15.32,113.1
6,6.054,0.000,0.440,0.0378,11.36,109.4
7,12.000,0.011,0.462,0.0853,24.85,111.4
8,11.863,0.025,0.425,0.0816,23.80,113.5
9,10.293,0.047,0.512,0.0764,22.35,118.2
10,11.458,0.054,0.174,0.0150,4.62,108.5
11,11.999,0.065,0.321,0.0710,20.74,111.1
12,11.540,0.465,0.482,0.0096,3.20,111.4
13,11.960,0.038,0.499,0.0896,26.12,114.4
14,9.699,0.226,0.522,0.0258,7.85,113.2
15,9.970,0.007,0.285,0.0338,10.06,115.9
16,9.909,0.226,0.403,0.0248,7.45,110.1
17,10.594,0.018,0.343,0.0513,15.07,109.7
18,11.714,0.063,0.571,0.0802,23.40,114.3
19,9.459,0.044,0.420,0.0645,18.93,110.0
20,11.640,0.056,0.482,0.0850,24.78,113.2
21,8.034,0.006,0.452,0.0489,14.47,110.1
22,10.488,0.038,0.521,0.0708,20.73,109.9
23,8.186,0.052,0.393,0.0584,17.23,115.7
24,8.013,0.103,0.461,0.0528,15.60,112.0
25,10.850,0.001,0.513,0.0733,21.42,110.1
26,11.107,0.141,0.356,0.0563,16.53,108.7
27,11.125,0.019,0.599,0.0850,24.79,116.1
28,11.265,0.009,0.427,0.0729,21.29,110.3
29,11.986,0.000,0.417,0.0779,22.72,112.6
30,10.353,0.039,0.590,0.0762,22.28,111.8
31,9.413,0.074,0.596,0.0618,18.13,114.6
32,11.276,0.036,0.578,0.0838,24.44,112.4
33,10.921,0.090,0.526,0.0706,20.64,114.4
34,11.433,0.023,0.555,0.0801,23.37,109.8
35,11.529,0.210,0.596,0.0302,9.12,112.0
36,8.602,0.003,0.588,0.0672,19.74,117.5
37,10.717,0.099,0.427,0.0713,20.85,116.4
38,11.405,0.009,0.592,0.0809,23.59,110.7
39,11.846,0.011,0.599,0.0909,26.48,116.4
40,11.975,0.064,0.418,0.0850,24.79,114.1
41,10.208,0.020,0.510,0.0697,20.42,110.2
42,11.636,0.000,0.589,0.0920,26.79,112.2
43,11.439,0.018,0.598,0.0880,25.67,120.7
44,11.866,0.020,0.577,0.0828,24.16,110.1
45,11.956,0.134,0.599,0.0475,14.00,102.9
46,11.788,0.110,0.600,0.0640,18.74,117.4
47,11.820,0.153,0.598,0.0404,12.00,104.5
48,11.539,0.002,0.593,0.0909,26.49,113.1
49,11.504,0.007,0.536,0.0821,23.95,109.3
50,11.991,0.002,0.597,0.0937,27.27,112.7
51,11.989,0.002,0.598,0.0936,27.25,113.4
52,11.614,0.063,0.596,0.0787,22.96,118.1
53,10.316,0.009,0.595,0.0811,23.68,111.1
