t,pos_pelvis_tilt,pos_pelvis_list,pos_pelvis_rotation,pos_pelvis_tx,pos_pelvis_ty,pos_pelvis_tz,pos_hip_flexion_r,pos_hip_adduction_r,pos_hip_rotation_r,pos_knee_angle_r,pos_ankle_angle_r,pos_subtalar_angle_r,pos_mtp_angle_r,pos_hip_flexion_l,pos_hip_adduction_l,pos_hip_rotation_l,pos_knee_angle_l,pos_ankle_angle_l,pos_subtalar_angle_l,pos_mtp_angle_l,pos_lumbar_extension,pos_lumbar_bending,pos_lumbar_rotation,vel_pelvis_tilt,vel_pelvis_list,vel_pelvis_rotation,vel_pelvis_tx,vel_pelvis_ty,vel_pelvis_tz,vel_hip_flexion_r,vel_hip_adduction_r,vel_hip_rotation_r,vel_knee_angle_r,vel_ankle_angle_r,vel_subtalar_angle_r,vel_mtp_angle_r,vel_hip_flexion_l,vel_hip_adduction_l,vel_hip_rotation_l,vel_knee_angle_l,vel_ankle_angle_l,vel_subtalar_angle_l,vel_mtp_angle_l,vel_lumbar_extension,vel_lumbar_bending,vel_lumbar_rotation
0,-0.02924618014629526,-0.17554234667824792,1.4457435603682705,0.5998884476493267,0.9351055051476181,-1.0232714215424827,0.2530808220822191,-0.050277006306663784,-0.25228650094844746,0.19441735222539594,0.14745462862218742,0.11356003488638576,-4.658470764013367e-05,0.2204798854225428,-0.05441591879383925,-0.23543636479087668,0.16268214535853687,0.14580677521446078,-0.06863331105099109,0.00020378799072744188,0.05090296813389377,-0.02059845514458754,-0.0022959397816098284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.028894114897364234,-0.17522494860945342,1.4453843716980554,0.6000346590748917,0.9348520789635414,-1.023140066411792,0.25286216607009754,-0.04981901561544857,-0.25182975409144887,0.1944883270703303,0.14723914930762955,0.1136145387548768,-4.658470764013367e-05,0.22038671107158792,-0.05506748220070717,-0.23678887707986643,0.16316578112023786,0.1463497200739496,-0.06681311835333582,0.00020378799072744188,0.05090064330798137,-0.02058056853092331,-0.0022949586674518145,0.07041551092041679,0.06348183255001245,-0.07184024497393574,0.02924330721315074,-0.05068700840699081,0.026271944384429494,-0.043732730952884345,0.09160133985570451,0.09135256431727852,0.014195465140981278,-0.04309736923324174,0.010901154710920355,0.0,-0.01863552153212168,-0.13031723616845806,-0.27051191261996305,0.09673053322633367,0.10859276738787098,0.3640512637023055,0.0,-0.0004649814343211939,0.003577447770341476,0.00019622969014286305
2,-0.02845919022376803,-0.17479017427144486,1.4450433014970183,0.6001963045171503,0.9346135195331181,-1.023021776952417,0.2525323567212242,-0.04925239104597802,-0.2512519994208818,0.19453336257098058,0.14701148674188302,0.11333386169244744,-4.658470764013367e-05,0.22029259814669544,-0.055843888919896195,-0.23821043317118443,0.1638654911237096,0.14704188230024992,-0.06489094713909792,0.00020378799072744188,0.05089823090931356,-0.020562591513858978,-0.002293968236459151,0.08698797508745866,0.08695790691900063,-0.06821642448006526,0.03233021844432713,-0.047713553749321604,0.023658718784882512,-0.06596417532761233,0.11332887491871287,0.11555497294369067,0.009007414953546851,-0.045534104638753986,-0.056137374576486744,0.0,-0.01882324288080123,-0.15528677135768812,-0.2843211557406451,0.1399468920610279,0.13843728386353105,0.3844476799060519,0.0,-0.0004824965975870993,0.003595529082331966,0.00019809312220271926
3,-0.028040602285666325,-0.17442907495424875,1.444869774062391,0.6003373387579094,0.9343769993305616,-1.0228856029484916,0.2523054524893898,-0.04871731231726922,-0.2507723540465781,0.19455870461180627,0.14681436368754322,0.11268821287304846,-4.658470764013367e-05,0.22042363758897407,-0.05656282183478926,-0.23925780136589983,0.16473487650716245,0.14769528814437713,-0.06348364607557494,0.00020378799072744188,0.050895898352346085,-0.020544704312185403,-0.0022929984340258496,0.08372051378558475,0.07222238772665363,-0.034706699979875986,0.028207834060521297,-0.047305693920613213,0.027235752717998937,-0.045382432555151245,0.10701948624318465,0.09593242785181662,0.005068585320263899,-0.03942598886903972,-0.12913427732837582,0.0,0.02620880449516868,-0.14379160872426017,-0.2094809606361581,0.17388315418363917,0.13068573649998996,0.28147005053097474,0.0,-0.00046652769938039957,0.0035775653763205134,0.00019396726612499557
4,-0.02771885841373809,-0.17430107396601427,1.444899062768628,0.6004365172369658,0.9341316116326247,-1.0227065522453915,0.25237910587117207,-0.04832346857479376,-0.2505571649328319,0.19462319274528656,0.14666026818032896,0.11195392261009394,-4.658470764013367e-05,0.22090900960004056,-0.057095642800826546,-0.23967739035248806,0.16564941050660284,0.14816313548339824,-0.06299314760005047,0.00020378799072744188,0.05089372390436641,-0.020526875452341442,-0.0022920382992447563,0.06435102355636979,0.025601092445835773,0.005857945991933331,0.01983638912465698,-0.049079254985481394,0.03581139228519214,0.01473119123504225,0.07877150168448246,0.04303932704223741,0.012898077504399865,-0.0308201786571639,-0.14686318569305637,0.0,0.09707779523679431,-0.10656791792585009,-0.08392073048078116,0.18291319299537862,0.09357273832039836,0.09810312396526177,0.0,-0.00043490479654998944,0.003565896602555509,0.00019203366810109456
5,-0.027515434751575092,-0.17436559069916074,1.4450536851797222,0.60049554991643,0.9338800334611643,-1.0224953055708734,0.25271510049764745,-0.04810573224359817,-0.2506378409838461,0.19476223854584745,0.14655737233407543,0.11151444307684492,-4.658470764013367e-05,0.2216018789248059,-0.0573983923587074,-0.2394222160571037,0.16642429191549382,0.14840209524939987,-0.06351444523769056,0.00020378799072744188,0.05089169425314985,-0.02050912357408149,-0.0022910887317948068,0.04068615447847307,-0.012903797637565793,0.030925563116507293,0.011806948564482727,-0.05031739296506689,0.04225081163675317,0.06720127408659234,0.04354878833860305,-0.01613577417383518,0.027810132120572532,-0.020579888550575198,-0.08789897885905446,0.0,0.1385787084995533,-0.0605520279659491,0.05103664288879216,0.1549816986353015,0.04779362366356346,-0.10426317169186179,0.0,-0.00040594443171626185,0.0035504997476088858,0.00018992012800074124
6,-0.027392819147765004,-0.17441935436594577,1.4452424369973889,0.6005311052376373,0.9336355170408547,-1.0222893371165138,0.25307327816336517,-0.04802280555904485,-0.250926598669556,0.19495175008146512,0.14651846238305294,0.11151443244951628,-4.658470764013367e-05,0.22220749069954043,-0.05751680893279339,-0.23865030245513524,0.16695702745124416,0.14845328469810315,-0.0647866800135524,0.00020378799072744188,0.05088966260844928,-0.020491537813620474,-0.0022901600142415704,0.024523977914089033,-0.010753109195291473,0.03775168301475248,0.00711131279317544,-0.04890499336930689,0.041195130707323994,0.07163803700698804,0.01658591661485538,-0.057753555720699935,0.03790363191581268,-0.0077822622069511705,-2.125540019427397e-06,0.0,0.12112658851401406,-0.023684142615688686,0.15438811650415674,0.10655083127125455,0.010238247583708008,-0.25445584880938715,0.0,-0.00040634314245379896,0.0035172750265653574,0.00018575000290558665
7,-0.027291598429547616,-0.17428362788971224,1.445442056442193,0.6005603429060912,0.9334095309041048,-1.0221187095266588,0.25323388079874976,-0.0479946651201705,-0.251271795828454,0.19514358490190784,0.1465526149136781,0.11172921080661558,-4.658470764013367e-05,0.22254867807267,-0.057553674699148724,-0.2376550176015384,0.16731612792925332,0.14840375942816839,-0.06629607259304585,0.00020378799072744188,0.05088746557526711,-0.02047397694084588,-0.002289233987757567,0.020244851233258806,0.027146244051153137,0.03992528441308864,0.00584773807852833,-0.045198807120236405,0.0341267107538675,0.032121649779716516,0.005628284492373386,-0.06904184490199099,0.03836830512189121,0.006830744870440964,0.042957172841439246,0.0,0.06823985971765319,-0.007373410983520145,0.1990639283205826,0.07182260591625383,-0.00990540019645945,-0.30188906740221705,0.0,-0.0004394219949318506,0.0035122973153019956,0.0001852117702469177
8,-0.02716970475792425,-0.17392850004240618,1.4457273348011426,0.6005879310579133,0.9332038087874869,-1.0219879805045609,0.2531263020433776,-0.0479590186981955,-0.2515599516101201,0.19528362544569633,0.14664428117948097,0.11176068230014488,-4.658470764013367e-05,0.22266089477585566,-0.057590989183910056,-0.23663849667478443,0.1676513407939516,0.14836790073844927,-0.06759517385334089,0.00020378799072744188,0.050885092886848435,-0.020456416005368887,-0.0022883091529336077,0.024379586430032324,0.0710280520047113,0.05705766604617404,0.005517823221132854,-0.04114586143695465,0.0261467182890282,-0.021516503110469112,0.007129533583548665,-0.057633170704297305,0.028009087719906425,0.01833389395935626,0.006294518709311228,0.0,0.022444125095033518,-0.007463157801513221,0.20331129140410975,0.06704491626621936,-0.007171988616243244,-0.2598293335078754,0.0,-0.00047455427016259723,0.0035123098562193926,0.00018497342990772748
9,-0.027028550639099196,-0.17343331753789012,1.4461993689112613,0.6006056787266739,0.9330131270850749,-1.0218872974412072,0.2527757111910218,-0.04791157862056429,-0.25180603206441005,0.1953002758400524,0.146746253380445,0.11140378968496654,-4.658470764013367e-05,0.22265737185794493,-0.057628323353530374,-0.23558716078461858,0.16804006298563082,0.14845332561852093,-0.06856789989379078,0.00020378799072744188,0.050882541099411545,-0.02043890036797939,-0.0022873932677423344,0.028231810511734692,0.09903996250757588,0.09441012180781387,0.0035496578183149344,-0.0381376734548017,0.020137316502000457,-0.07012062129850578,0.009488347159081043,-0.04921781109883906,0.0033301952668428995,0.020395153035874393,-0.07138101791588525,0.0,-0.0007046082093237748,-0.007467094910918643,0.21027452746267022,0.07774715572271115,0.017085573182314736,-0.19455200799239225,0.0,-0.0005103753258081657,0.003503249922061712,0.00018318344080756245
